cohort,submission_n,submitted_utc,essay_blank,essay_chars,T1_everyday_coffee,T2_clarity_pace,T3_visual_immersion,T4_affect_stigma,T5_concepts_prior,T6_limits_friction,theme_count,themes_flagged,needs_manual_review
DD,150,2026-03-16 02:26:59 UTC,0,307,1,0,0,0,0,0,1,T1_everyday_coffee,0
DD,151,2026-03-16 03:10:42 UTC,0,357,0,0,0,0,0,1,1,T6_limits_friction,0
DD,152,2026-03-16 03:23:39 UTC,0,178,0,0,0,0,1,0,1,T5_concepts_prior,0
DD,153,2026-03-16 03:23:38 UTC,0,161,0,0,0,0,1,0,1,T5_concepts_prior,0
DD,154,2026-03-16 18:08:56 UTC,0,169,0,0,0,0,1,0,1,T5_concepts_prior,0
DD,155,2026-03-16 04:43:37 UTC,0,212,1,0,0,1,0,0,2,T1_everyday_coffee;T4_affect_stigma,0
DD,156,2026-03-16 05:06:38 UTC,0,139,0,0,0,0,0,0,0,,1
DD,157,2026-03-16 05:07:44 UTC,0,2,0,0,0,0,0,1,1,T6_limits_friction,0
DD,158,2026-03-16 05:28:00 UTC,0,455,0,0,1,1,1,0,3,T3_visual_immersion;T4_affect_stigma;T5_concepts_prior,0
DD,159,2026-03-18 06:01:48 UTC,0,83,0,0,0,0,0,0,0,,1
DD,160,2026-03-16 05:48:46 UTC,0,261,1,0,0,0,0,0,1,T1_everyday_coffee,0
DD,161,2026-03-16 23:44:56 UTC,0,121,0,0,1,1,0,0,2,T3_visual_immersion;T4_affect_stigma,0
DD,162,2026-03-18 02:44:11 UTC,0,63,0,0,0,0,1,0,1,T5_concepts_prior,0
DD,163,2026-03-16 06:15:39 UTC,0,83,1,0,0,0,0,0,1,T1_everyday_coffee,0
DD,165,2026-03-16 06:42:08 UTC,0,30,1,0,0,0,0,0,1,T1_everyday_coffee,0
DD,166,2026-03-16 07:36:48 UTC,0,109,1,0,0,0,0,0,1,T1_everyday_coffee,0
DD,167,2026-03-16 09:45:54 UTC,0,163,1,0,0,0,0,0,1,T1_everyday_coffee,0
DD,168,2026-03-16 16:50:04 UTC,0,100,0,0,0,1,0,0,1,T4_affect_stigma,0
DD,169,2026-03-16 17:31:11 UTC,0,42,1,0,0,0,0,0,1,T1_everyday_coffee,0
DD,170,2026-03-16 17:28:34 UTC,0,67,0,0,0,1,0,0,1,T4_affect_stigma,0
DD,171,2026-03-19 05:53:30 UTC,0,657,1,0,0,1,1,0,3,T1_everyday_coffee;T4_affect_stigma;T5_concepts_prior,0
DD,172,2026-03-20 22:43:28 UTC,0,74,0,0,0,0,0,0,0,,1
DD,173,2026-03-16 18:55:40 UTC,0,179,1,0,1,0,0,0,2,T1_everyday_coffee;T3_visual_immersion,0
DD,174,2026-03-16 20:11:33 UTC,0,342,0,0,0,1,1,0,2,T4_affect_stigma;T5_concepts_prior,0
DD,176,2026-03-17 08:08:15 UTC,0,191,0,0,1,0,0,0,1,T3_visual_immersion,0
DD,177,2026-03-16 21:33:27 UTC,0,116,1,1,0,0,0,0,2,T1_everyday_coffee;T2_clarity_pace,0
DD,178,2026-03-16 22:05:08 UTC,0,227,0,0,0,1,0,0,1,T4_affect_stigma,0
DD,179,2026-03-18 03:50:16 UTC,0,74,1,0,0,0,1,0,2,T1_everyday_coffee;T5_concepts_prior,0
DD,180,2026-03-18 08:16:50 UTC,0,124,0,1,0,0,1,0,2,T2_clarity_pace;T5_concepts_prior,0
DD,181,2026-03-16 22:31:57 UTC,0,69,0,0,0,0,1,0,1,T5_concepts_prior,0
DD,182,2026-03-17 02:11:44 UTC,0,188,0,0,0,1,0,0,1,T4_affect_stigma,0
DD,184,2026-03-16 23:59:35 UTC,0,136,1,1,0,0,0,0,2,T1_everyday_coffee;T2_clarity_pace,0
DD,185,2026-03-16 23:53:05 UTC,0,122,1,0,0,0,0,0,1,T1_everyday_coffee,0
DD,186,2026-03-17 00:08:58 UTC,0,149,0,0,0,0,1,0,1,T5_concepts_prior,0
DD,187,2026-03-17 03:24:22 UTC,0,230,0,0,0,0,1,0,1,T5_concepts_prior,0
DD,188,2026-03-17 03:53:52 UTC,0,144,0,0,0,1,1,0,2,T4_affect_stigma;T5_concepts_prior,0
DD,189,2026-03-17 04:08:08 UTC,0,50,0,0,0,1,0,0,1,T4_affect_stigma,0
DD,190,2026-03-17 04:42:45 UTC,0,98,0,0,0,1,0,0,1,T4_affect_stigma,0
